suggestion_id;category;name;size;sweetness_pct;ice_pct;temperature;toppings;dairy;price_vnd;calories_kcal;caffeine_level;vegan;lactose_free;time_of_day;weather_tag;mood_tag;season;tags;rating_pred;created_at;description_vn
1;Soda;Soda việt quất;S;50;30;Lạnh;;Không sữa;23000;140;Thấp;TRUE;TRUE;Sáng;Bình thường;Tập trung;Xuân;;3.54;10/11/2025 12:26;Soda việt quất, size S, 50% đường, 30% đá. Phù hợp bình thường • Tập trung.
2;Trà trái cây;Trà đào;M;100;70;Lạnh;Thạch nha đam;Không sữa;30000;165;Thấp;TRUE;TRUE;Tối;Se lạnh;Năng lượng;Hạ;trái_cây;3.72;10/11/2025 12:26;Trà đào, size M, 100% đường, 70% đá. Phù hợp se lạnh • Năng lượng.
3;Cà phê;Cà phê đen đá;S;0;50;Nóng;Trân châu đen;Sữa đậu nành;31000;82;Cao;TRUE;TRUE;Tối;Nắng nóng;Giải khát;Xuân;cafein_cao;4.23;10/11/2025 12:26;Cà phê đen đá, size S, 0% đường, 50% đá. Phù hợp nắng nóng • Giải khát.
4;Soda;Soda cam;L;50;100;Lạnh;;Không sữa;33000;140;Thấp;TRUE;TRUE;Sáng;Mưa;Năng lượng;Xuân;trái_cây;4.68;10/11/2025 12:26;Soda cam, size L, 50% đường, 100% đá. Phù hợp mưa • Năng lượng.
5;Trà sữa;Trà sữa xoài caramen;M;50;50;Lạnh;Thạch phô mai;Sữa đậu nành;40000;336;Thấp;FALSE;FALSE;Trưa;Mưa;Thư giãn;Đông;trái_cây;3.97;10/11/2025 12:26;Trà sữa xoài caramen, size M, 50% đường, 50% đá. Phù hợp mưa • Thư giãn.
6;Soda;Soda táo;M;50;0;Lạnh;;Không sữa;28000;140;Thấp;TRUE;TRUE;Chiều;Bình thường;Năng lượng;Xuân;trái_cây;3.72;10/11/2025 12:26;Soda táo, size M, 50% đường, 0% đá. Phù hợp bình thường • Năng lượng.
7;Sữa chua;Sữa chua dâu;S;70;70;Nóng;;Sữa tươi;30000;297;Thấp;FALSE;FALSE;Trưa;Se lạnh;Giải khát;Đông;trái_cây;3.94;10/11/2025 12:26;Sữa chua dâu, size S, 70% đường, 70% đá. Phù hợp se lạnh • Giải khát.
8;Trà trái cây;Trà cam sả tươi;S;30;70;Lạnh;;Sữa đậu nành;25000;124;Trung bình;TRUE;TRUE;Sáng;Nắng nóng;Năng lượng;Thu;trái_cây;3.57;10/11/2025 12:26;Trà cam sả tươi, size S, 30% đường, 70% đá. Phù hợp nắng nóng • Năng lượng.
9;Đá xay;Socola đá xay;M;50;100;Lạnh;Dừa khô, Trân châu hoàng kim;Sữa yến mạch;51000;468;Thấp;TRUE;TRUE;Trưa;Mưa;Năng lượng;Hạ;;4.21;10/11/2025 12:26;Socola đá xay, size M, 50% đường, 100% đá. Phù hợp mưa • Năng lượng.
10;Sữa chua;Sữa chua việt quất;M;70;0;Lạnh;Thạch nha đam, Thạch đào;Không sữa;38000;308;Thấp;TRUE;TRUE;Trưa;Nắng nóng;Tập trung;Đông;;4.62;10/11/2025 12:26;Sữa chua việt quất, size M, 70% đường, 0% đá. Phù hợp nắng nóng • Tập trung.
